drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Abyss,,Mid Blue Black,"West Allis, WI",Toyota,6,Yaris,Manual,,2017 Toyota Yaris iA,"$12,925",,https://www.truecar.com/used-cars-for-sale/listing/3MYDLBYV8HY190122/2017-toyota-yaris-ia/,3MYDLBYV8HY190122,2017
,,Barcelona Red Metallic,,,"Rockford, IL",Toyota,"20,315",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,472",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE6HP638062/2017-toyota-corolla/?zipcode=61109,5YFBURHE6HP638062,2017
,,Barcelona Red Metallic,,,"Rockford, IL",Toyota,"25,065",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,172",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE0HP635898/2017-toyota-corolla/?zipcode=61109,5YFBURHE0HP635898,2017
,,Classic Silver Metallic,,,"Brookfield, WI",Toyota,"26,020",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,172",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE5HP641230/2017-toyota-corolla/?zipcode=53005,5YFBURHE5HP641230,2017
,,Aurora Black,,,"Rockford, IL",Kia,"32,101",Forte,EX Automatic,,2015 Kia Forte,"$14,000",,https://www.truecar.com/used-cars-for-sale/listing/KNAFX4A8XF5364212/2015-kia-forte/,KNAFX4A8XF5364212,2015
,,Platinum Graphite,,Gray,"Brookfield, WI",Kia,"33,049",Optima,LX,,2015 Kia Optima,"$12,490",,https://www.truecar.com/used-cars-for-sale/listing/KNAGM4A75F5569022/2015-kia-optima/,KNAGM4A75F5569022,2015
,,Red,,Beige,"Madison, WI",Kia,"23,153",Optima,LX,,2015 Kia Optima,"$13,595",,https://www.truecar.com/used-cars-for-sale/listing/5XXGM4A75FG508140/2015-kia-optima/,5XXGM4A75FG508140,2015
,,Fresh Powder,,Charcoal W/Cloth Seat Trim,"Crystal Lake, IL",Nissan,"5,868",Sentra,S CVT,,2017 Nissan Sentra,"$14,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP4HY313317/2017-nissan-sentra/,3N1AB7AP4HY313317,2017
,,Phantom Black,,Gray,"Rockford, IL",Hyundai,"23,821",Elantra,SE Automatic,,2017 Hyundai Elantra,"$12,872",,https://www.truecar.com/used-cars-for-sale/listing/5NPD74LF3HH174745/2017-hyundai-elantra/?zipcode=61109,5NPD74LF3HH174745,2017
,,Basque Red Pearl,,Parchment,"Palatine, IL",Acura,"73,239",TL,4dr Sedan 2WD,,2011 Acura TL,"$14,398",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F22BA008332/2011-acura-tl/,19UUA8F22BA008332,2011
